tetep,tetap
tetiba,tiba tiba
th,tahun
that,bahwa
then,kemudian
thn,tahun
tidk,tidak
tipi,tv
tjd,terjadi
tkut,takut
tkuttt,takut
tlah,telah
tnpa,tanpa
to,untuk
tolol,bodoh
too,juga
tp,tetapi
tpi,tetapi
tra,terus
tra,nanti
trailer,cuplikan
treak,teriak
trial,uji coba
trima,terima
trimakasih,terima kasih
trllu,terlalu
trma,terima
trs,terus
trsbt,tersebut
trus,terus
tsb,tersebut
ttep,tetap
ttg,tentang
ttng,tentang
ttp,tetap
ttup,tutup
tu,itu
tubuhlu,tubuh kamu
tuh,itu
tuhh,itu
tuk,untuk
twpi,tetapi
u,untuk
uda,sudah
udah,sudah
udahan,sudahan
udh,sudah
ugh,juga
ujicoba,uji coba
ujung²nya,ujung ujungnya
understand,paham
univ,universitas
unt,untuk
untk,untuk
usa,usah
utk,untuk
uttk,untuk
vaccine ,vaksin
venar,benar
verguna,berguna
verified,verifikasi
viks,fix
volunteer,volunter
w,saya
wa,whatsapp
wabb,wabarakatuh
aminn,amin
walopun,walaupun
warr,warahmatullahi
wayahe ,saatnya
ways,mungkin
what,apa
why,kenapa
will,akan
wish,berharap
wktu,waktu
wktunya,waktunya
wong,orang
x,kali
y,ya
yaa,ya
yah,ya
yah,ya
yaiyalah,ya iyalah
yak,ya
yakh,ya
ye,ya
yeyyy,asyik
yey,asyik
yeay,asyik
yes,yang
yg,yang
yh,ya
yk,ya
yok,ayo
yooo,ayo
you,kamu
your,kamu
yu,ayo
yuk,ayo
yukk,ayo
yukkk,ayo
yuks,ayo
yupss,ya
z,sih
wkwk,ketawa
wahh,wah
